0,488.5,330.886,148.497
1,488.5,298.886,206.597
2,488.5,250.186,94.697
3,488.5,128.783,148.797
4,488.5,512.886,197.597
5,488.5,251.686,169.997
6,488.5,367.886,184.297
7,488.5,367.986,81.997
8,118.5,514.886,68.797
9,488.5,401.386,131.397
10,488.5,472.386,106.997
11,488.5,439.986,172.697
12,94.9,527.886,194.397
13,171.9,527.886,149.897
14,272.1,514.886,89.997
15,432.9,527.886,141.297
16,254.7,527.886,192.197
17,361.6,527.886,207.797
18,398,514.886,69.097
19,488.5,114.083,84.297
20,488.5108.783,202.797
21,488.5,192.583,216.897
23,488.5,63.783,125.797
24,488.5,10.783,187.997
31,437.2,-50.017,141.397
32,372.3,-50.017,200.797
33,257.2,-50.017,106.297
